               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.047203,            0.023929,            0.056082,             0.32568,            0.029422,            0.014246,           0.0034403,            0.096389,            0.033229,             0.19591,            0.070217,           0.0033092,           0.0033092
                   1,            0.039155,            0.020434,            0.046774,             0.28767,             0.41722,             0.22258,             0.10405,            0.049271,              0.0231,            0.063469,            0.040195,           0.0066206,           0.0066206
                   2,             0.03798,            0.019522,            0.037834,             0.41696,             0.36706,             0.31678,             0.16256,            0.040426,            0.032464,            0.042393,            0.010152,             0.00991,             0.00991
                   3,            0.037741,            0.021262,            0.034744,             0.40209,             0.44029,             0.35497,             0.18725,             0.04518,            0.021804,            0.035155,            0.009901,            0.009901,            0.009901
                   4,            0.033515,            0.019658,            0.026042,             0.57851,             0.48446,             0.50188,             0.29519,            0.034954,            0.017695,            0.036323,            0.009901,            0.009901,            0.009901
                   5,            0.030646,            0.017881,            0.019285,             0.56895,             0.62786,             0.72904,              0.4932,            0.025531,            0.012103,            0.028699,            0.009868,            0.009868,            0.009868
                   6,            0.028878,            0.017225,            0.015221,             0.78999,             0.65272,             0.77681,              0.5491,            0.022413,            0.012625,            0.016781,            0.009835,            0.009835,            0.009835
                   7,             0.02761,            0.016285,            0.012424,             0.39322,             0.40062,             0.43141,              0.2481,            0.037709,            0.019829,            0.046877,            0.009802,            0.009802,            0.009802
                   8,            0.027481,            0.016503,            0.012319,             0.68258,             0.87901,             0.90598,             0.67803,            0.020201,             0.01078,            0.011165,            0.009769,            0.009769,            0.009769
                   9,            0.026263,             0.01495,           0.0096078,             0.83548,             0.90251,             0.92922,             0.71022,            0.021037,            0.011048,           0.0070985,            0.009736,            0.009736,            0.009736
                  10,            0.025473,            0.015432,           0.0089079,             0.80249,             0.90839,             0.90586,             0.65755,            0.021484,            0.010871,           0.0079164,            0.009703,            0.009703,            0.009703
                  11,            0.025039,            0.015377,           0.0084598,             0.81219,             0.83354,             0.89387,             0.67129,            0.021223,            0.010523,            0.011417,             0.00967,             0.00967,             0.00967
                  12,            0.024599,            0.014898,           0.0079227,             0.65183,             0.52437,             0.62008,             0.42754,            0.028712,            0.018507,            0.039169,            0.009637,            0.009637,            0.009637
                  13,            0.023522,            0.014526,           0.0072571,              0.8748,             0.89931,             0.92869,             0.69187,            0.019688,            0.010025,           0.0041467,            0.009604,            0.009604,            0.009604
                  14,            0.023429,            0.014285,             0.00676,             0.83492,             0.89139,             0.92638,             0.74836,            0.016588,           0.0096196,           0.0062959,            0.009571,            0.009571,            0.009571
                  15,             0.02232,            0.014211,           0.0064785,              0.8279,             0.82039,             0.89565,              0.6873,            0.019492,            0.011868,            0.012224,            0.009538,            0.009538,            0.009538
                  16,            0.022967,            0.014307,           0.0075261,             0.84673,             0.75527,             0.89845,             0.69666,            0.018857,           0.0097523,            0.012473,            0.009505,            0.009505,            0.009505
                  17,            0.022839,            0.014809,           0.0080202,             0.81917,             0.79521,             0.87642,             0.64488,             0.02538,            0.014289,           0.0094436,            0.009472,            0.009472,            0.009472
                  18,            0.023359,            0.014459,           0.0066777,             0.87568,             0.90236,             0.94391,                0.72,            0.018606,           0.0095746,           0.0043551,            0.009439,            0.009439,            0.009439
                  19,            0.021393,            0.013319,           0.0057384,             0.88601,             0.90435,             0.94011,             0.76421,             0.01638,           0.0090194,           0.0035746,            0.009406,            0.009406,            0.009406
                  20,            0.021611,            0.013429,           0.0059299,              0.9164,             0.88932,             0.94964,             0.76469,             0.01651,           0.0088417,            0.003689,            0.009373,            0.009373,            0.009373
                  21,             0.02106,            0.013269,            0.005855,             0.80228,             0.89969,             0.91268,             0.72161,             0.01777,            0.010046,           0.0065469,             0.00934,             0.00934,             0.00934
                  22,            0.021045,            0.013231,           0.0052013,             0.87746,             0.90442,             0.94717,             0.75269,            0.017269,           0.0087039,           0.0051602,            0.009307,            0.009307,            0.009307
                  23,            0.020491,            0.012843,           0.0057348,             0.88781,             0.91808,              0.9589,             0.76756,            0.017249,           0.0088181,           0.0040239,            0.009274,            0.009274,            0.009274
                  24,            0.020377,            0.012696,           0.0049699,             0.89063,             0.92249,              0.9541,             0.77626,            0.015889,           0.0090005,           0.0034681,            0.009241,            0.009241,            0.009241
                  25,             0.02055,            0.012657,           0.0045886,             0.88904,             0.90826,             0.95151,             0.75478,            0.016357,           0.0094369,           0.0034073,            0.009208,            0.009208,            0.009208
                  26,            0.019579,             0.01235,            0.004952,             0.71063,             0.72038,             0.77262,             0.54924,            0.029641,            0.019835,            0.017602,            0.009175,            0.009175,            0.009175
                  27,            0.019357,            0.012326,           0.0046297,             0.86677,             0.81008,             0.90247,             0.71437,            0.019248,            0.013653,           0.0076252,            0.009142,            0.009142,            0.009142
                  28,            0.018609,            0.011833,           0.0046104,             0.89137,             0.89683,             0.95082,             0.79124,            0.015565,           0.0079618,            0.003455,            0.009109,            0.009109,            0.009109
                  29,            0.018681,            0.011964,           0.0048186,              0.8685,             0.89719,              0.9211,             0.75126,            0.015469,           0.0086191,           0.0035432,            0.009076,            0.009076,            0.009076
                  30,            0.020094,            0.012148,           0.0048815,             0.75573,             0.86398,             0.90682,             0.70879,            0.017907,            0.010769,           0.0093211,            0.009043,            0.009043,            0.009043
                  31,            0.019703,            0.012725,           0.0049795,               0.836,             0.85372,                0.91,              0.7048,             0.01901,            0.010384,           0.0080369,             0.00901,             0.00901,             0.00901
                  32,            0.019306,            0.012378,           0.0041253,             0.82591,              0.9007,             0.93441,             0.74628,            0.017632,            0.008744,           0.0044704,            0.008977,            0.008977,            0.008977
                  33,            0.019216,            0.012212,           0.0042215,             0.77414,             0.57492,              0.6404,             0.44508,            0.032573,            0.027384,            0.019127,            0.008944,            0.008944,            0.008944
                  34,             0.01864,            0.011742,           0.0042235,             0.88871,              0.9077,             0.94849,             0.77731,            0.015525,           0.0085374,           0.0033226,            0.008911,            0.008911,            0.008911
                  35,            0.018504,            0.011551,           0.0041154,             0.89899,             0.90821,              0.9565,             0.78694,            0.014479,           0.0078074,            0.002873,            0.008878,            0.008878,            0.008878
                  36,            0.018416,             0.01187,           0.0043178,             0.89198,             0.92939,             0.95858,             0.80035,            0.014474,           0.0073915,           0.0024154,            0.008845,            0.008845,            0.008845
                  37,              0.0181,            0.011914,           0.0043943,             0.87269,             0.95197,             0.96678,             0.80309,            0.014897,            0.007912,           0.0036434,            0.008812,            0.008812,            0.008812
                  38,             0.01828,            0.011434,           0.0042886,             0.91779,             0.94162,             0.97136,             0.80723,             0.01417,           0.0075464,           0.0021114,            0.008779,            0.008779,            0.008779
                  39,            0.017688,            0.011415,           0.0040305,             0.89389,             0.91045,             0.94935,             0.79702,            0.013879,           0.0078594,           0.0033122,            0.008746,            0.008746,            0.008746
                  40,            0.017764,            0.011429,           0.0040883,             0.92158,             0.91684,             0.96402,             0.80234,            0.014617,           0.0080656,           0.0030785,            0.008713,            0.008713,            0.008713
                  41,            0.017968,            0.011667,           0.0044266,              0.8553,             0.86236,             0.91369,             0.74323,            0.016992,            0.012055,            0.007561,             0.00868,             0.00868,             0.00868
