               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.04722,            0.023966,            0.055708,             0.83338,            0.047273,             0.04671,            0.012076,            0.066353,              0.1259,            0.055137,            0.070217,           0.0033092,           0.0033092
                   1,             0.04075,            0.020761,            0.046994,             0.22347,             0.38509,             0.14394,            0.060174,            0.050624,            0.018717,            0.081135,            0.040195,           0.0066206,           0.0066206
                   2,            0.039855,            0.020346,            0.037994,             0.18451,             0.31323,             0.12732,            0.060474,            0.052007,            0.038448,            0.067011,            0.010152,             0.00991,             0.00991
                   3,            0.039633,            0.021274,            0.036435,             0.59211,             0.43664,             0.47649,             0.24849,            0.035111,            0.025324,            0.032586,            0.009901,            0.009901,            0.009901
                   4,            0.035147,            0.019429,             0.02688,              0.6046,               0.564,             0.57165,             0.35324,            0.030842,            0.014753,            0.034659,            0.009901,            0.009901,            0.009901
                   5,             0.03285,            0.018611,            0.020355,             0.66494,             0.55507,             0.59976,              0.3875,            0.030113,            0.016784,            0.030217,            0.009868,            0.009868,            0.009868
                   6,            0.033268,            0.018802,            0.018245,             0.59264,             0.63765,             0.61667,             0.35976,            0.033694,            0.015476,             0.02366,            0.009835,            0.009835,            0.009835
                   7,            0.031547,            0.017604,            0.014247,             0.83842,             0.71879,             0.76951,             0.50789,            0.029866,            0.012341,             0.01942,            0.009802,            0.009802,            0.009802
                   8,            0.031125,            0.018211,            0.014466,             0.73119,             0.71007,             0.75191,             0.46719,            0.029034,            0.013325,            0.014071,            0.009769,            0.009769,            0.009769
                   9,            0.030202,            0.017029,             0.01334,             0.81422,             0.76615,             0.84994,             0.60042,            0.022563,            0.011033,            0.012548,            0.009736,            0.009736,            0.009736
                  10,            0.030296,            0.017472,            0.011016,             0.89336,             0.80578,             0.86157,             0.62949,            0.021234,            0.010867,           0.0090056,            0.009703,            0.009703,            0.009703
                  11,            0.030038,             0.01739,              0.0113,             0.76315,             0.53516,             0.67081,             0.42202,            0.030353,            0.015234,            0.053871,             0.00967,             0.00967,             0.00967
                  12,            0.029792,            0.017017,            0.011068,             0.68637,             0.76901,             0.79851,             0.53546,            0.025953,            0.013045,           0.0083763,            0.009637,            0.009637,            0.009637
                  13,            0.028114,            0.016843,            0.010019,             0.83422,             0.83723,             0.88101,             0.64039,            0.022837,            0.011814,           0.0099051,            0.009604,            0.009604,            0.009604
                  14,            0.028077,            0.016451,           0.0098186,             0.78004,             0.77114,             0.83056,             0.57248,            0.026409,            0.015973,            0.015348,            0.009571,            0.009571,            0.009571
                  15,            0.027709,            0.016984,            0.010724,             0.48865,                0.42,             0.46465,              0.2581,            0.038766,            0.025189,            0.039521,            0.009538,            0.009538,            0.009538
                  16,            0.028333,            0.017089,            0.010655,             0.72997,             0.78215,              0.8153,              0.5679,            0.030967,            0.011297,            0.035629,            0.009505,            0.009505,            0.009505
                  17,            0.027981,            0.016907,           0.0097442,             0.83163,             0.78777,             0.87356,             0.63607,            0.022762,             0.01124,           0.0058117,            0.009472,            0.009472,            0.009472
                  18,            0.027619,            0.016496,           0.0087122,             0.64227,             0.38503,              0.4515,              0.2721,            0.037004,            0.027543,             0.05888,            0.009439,            0.009439,            0.009439
                  19,            0.026627,            0.015846,           0.0084665,             0.78562,              0.8389,              0.8751,              0.6246,            0.023936,            0.011905,           0.0094102,            0.009406,            0.009406,            0.009406
                  20,            0.026677,            0.016309,           0.0093794,             0.80247,             0.80426,             0.86057,             0.63008,            0.021443,            0.011048,            0.008787,            0.009373,            0.009373,            0.009373
