               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.076248,             0.03216,            0.061116,             0.45273,             0.17858,              0.1322,            0.064519,            0.050777,            0.013866,             0.05732,            0.070435,            0.003285,            0.003285
                   1,            0.051106,            0.021464,            0.054352,             0.53296,             0.29936,             0.22931,             0.10471,            0.048032,            0.010967,            0.049452,            0.040413,           0.0065965,           0.0065965
                   2,            0.049267,            0.018311,            0.045481,             0.43589,             0.56732,             0.48879,              0.2029,            0.047769,            0.011103,            0.036072,            0.010369,            0.009886,            0.009886
                   3,            0.043267,            0.016345,            0.034622,             0.68442,             0.64206,             0.69405,             0.39762,            0.031556,           0.0095818,             0.02556,            0.009901,            0.009901,            0.009901
                   4,            0.037622,            0.015016,            0.022482,             0.88348,              0.8071,              0.8325,             0.56605,            0.024945,           0.0088263,            0.014821,            0.009901,            0.009901,            0.009901
                   5,            0.033896,            0.014181,            0.014417,             0.83798,             0.81327,             0.84052,             0.55468,            0.028025,           0.0093479,           0.0096793,            0.009868,            0.009868,            0.009868
                   6,             0.03231,            0.013892,            0.010724,             0.90728,             0.79706,             0.85412,             0.58621,             0.02502,           0.0088134,            0.010059,            0.009835,            0.009835,            0.009835
                   7,            0.030954,            0.013088,           0.0091615,              0.7463,             0.72647,             0.78982,             0.54427,             0.02405,            0.012401,            0.022645,            0.009802,            0.009802,            0.009802
                   8,            0.029449,            0.012942,           0.0080231,             0.90671,             0.83149,             0.86138,             0.63874,            0.021098,           0.0081925,           0.0076708,            0.009769,            0.009769,            0.009769
                   9,            0.027629,            0.012304,           0.0078536,             0.91844,             0.81646,             0.85685,             0.65118,            0.022178,           0.0088375,           0.0075953,            0.009736,            0.009736,            0.009736
                  10,            0.027606,            0.012709,           0.0073732,             0.86115,             0.66187,              0.7082,             0.54295,            0.023671,            0.020513,            0.034369,            0.009703,            0.009703,            0.009703
                  11,            0.026354,            0.012327,           0.0065434,             0.95169,              0.8066,             0.88602,             0.66188,            0.021272,           0.0086858,           0.0067362,             0.00967,             0.00967,             0.00967
                  12,            0.025464,            0.012113,           0.0070626,             0.91885,             0.83864,             0.91402,             0.69805,            0.019937,           0.0081968,           0.0068818,            0.009637,            0.009637,            0.009637
                  13,            0.025244,            0.011958,           0.0070168,             0.92761,             0.85874,             0.95988,             0.77325,            0.018463,           0.0079558,           0.0052924,            0.009604,            0.009604,            0.009604
                  14,            0.025238,            0.011657,           0.0061115,             0.92302,             0.93275,             0.96101,             0.77753,            0.018837,            0.008605,           0.0050107,            0.009571,            0.009571,            0.009571
                  15,            0.024258,            0.011794,           0.0054338,              0.8105,             0.96464,             0.95144,             0.75043,            0.017421,            0.007653,           0.0045615,            0.009538,            0.009538,            0.009538
                  16,            0.024122,            0.011474,            0.005395,             0.89816,             0.95683,             0.96224,             0.75037,            0.018994,           0.0079396,           0.0046054,            0.009505,            0.009505,            0.009505
                  17,            0.023346,            0.011491,            0.005322,             0.87045,             0.94227,             0.95065,             0.76066,            0.016583,           0.0076168,           0.0055104,            0.009472,            0.009472,            0.009472
                  18,            0.022821,            0.011115,           0.0049481,              0.8957,             0.92572,             0.95757,             0.77106,            0.016865,           0.0079668,           0.0047092,            0.009439,            0.009439,            0.009439
                  19,            0.022479,            0.011096,           0.0046356,             0.87578,             0.93293,             0.95153,             0.77609,            0.015995,           0.0075957,           0.0050685,            0.009406,            0.009406,            0.009406
                  20,            0.022777,            0.010991,           0.0047391,             0.90246,             0.96464,             0.97605,             0.80841,            0.016061,           0.0076475,           0.0039251,            0.009373,            0.009373,            0.009373
                  21,            0.022055,             0.01094,            0.004531,             0.93694,             0.93625,             0.96643,             0.81441,            0.015353,           0.0073289,           0.0040397,             0.00934,             0.00934,             0.00934
                  22,            0.020701,            0.010824,           0.0041432,             0.92286,             0.93962,              0.9668,             0.80777,            0.015376,           0.0071869,             0.00526,            0.009307,            0.009307,            0.009307
                  23,            0.021663,            0.010403,           0.0040024,             0.93672,             0.95296,             0.97636,             0.82304,            0.015181,            0.007062,           0.0042623,            0.009274,            0.009274,            0.009274
                  24,            0.020718,            0.010492,           0.0042046,             0.94545,             0.93595,             0.97655,             0.83104,            0.014917,           0.0072528,           0.0036216,            0.009241,            0.009241,            0.009241
                  25,            0.020441,            0.010398,           0.0039057,              0.9261,               0.965,             0.97782,             0.82832,            0.014458,           0.0070179,           0.0037838,            0.009208,            0.009208,            0.009208
                  26,            0.021027,            0.010488,           0.0038794,             0.90253,             0.95224,              0.9488,             0.79879,            0.014329,           0.0067917,           0.0037319,            0.009175,            0.009175,            0.009175
                  27,            0.020274,            0.010473,           0.0039744,             0.93704,             0.93355,             0.97436,             0.80914,            0.015597,           0.0071322,           0.0046902,            0.009142,            0.009142,            0.009142
                  28,            0.019824,             0.01013,           0.0036489,             0.92747,             0.97014,             0.96792,             0.80622,            0.014157,           0.0066117,            0.003678,            0.009109,            0.009109,            0.009109
                  29,            0.018847,           0.0099339,           0.0037178,             0.93253,             0.92947,             0.96988,             0.83262,             0.01444,           0.0071778,           0.0041693,            0.009076,            0.009076,            0.009076
                  30,             0.01948,           0.0098404,           0.0035675,             0.94183,             0.93503,             0.97266,             0.83319,            0.014177,           0.0072546,           0.0039417,            0.009043,            0.009043,            0.009043
                  31,            0.019592,            0.010346,           0.0036253,              0.9414,             0.91951,             0.95912,             0.79511,            0.014454,           0.0069628,           0.0038753,             0.00901,             0.00901,             0.00901
                  32,            0.019626,            0.010176,           0.0034141,             0.91102,             0.92961,             0.96021,              0.8173,            0.014175,           0.0072227,           0.0052537,            0.008977,            0.008977,            0.008977
                  33,            0.018947,            0.010436,           0.0032052,             0.90969,             0.94254,             0.96864,             0.84053,            0.012717,           0.0068793,           0.0038538,            0.008944,            0.008944,            0.008944
                  34,            0.019151,           0.0099108,           0.0033551,             0.90719,             0.97535,             0.96595,             0.82276,            0.014539,           0.0072111,            0.003594,            0.008911,            0.008911,            0.008911
                  35,            0.018494,           0.0094905,           0.0033917,             0.94248,             0.92492,             0.97743,             0.83738,            0.014148,           0.0070087,           0.0040582,            0.008878,            0.008878,            0.008878
                  36,            0.018427,           0.0097031,            0.003151,             0.94855,              0.9468,             0.96325,             0.82387,            0.014082,           0.0066036,           0.0037128,            0.008845,            0.008845,            0.008845
                  37,            0.018826,            0.010161,           0.0034178,             0.93478,             0.95409,              0.9741,             0.83495,            0.013885,           0.0066921,           0.0035756,            0.008812,            0.008812,            0.008812
                  38,            0.018457,           0.0096458,           0.0036028,             0.92459,             0.93562,             0.96158,             0.82392,            0.014153,           0.0076597,           0.0041391,            0.008779,            0.008779,            0.008779
                  39,            0.018094,           0.0095942,           0.0030632,             0.92828,             0.90855,             0.96282,             0.80753,            0.014322,           0.0075606,           0.0040545,            0.008746,            0.008746,            0.008746
                  40,            0.017734,           0.0094281,           0.0031435,             0.93393,              0.9567,             0.97248,             0.83556,            0.013322,           0.0068514,           0.0032363,            0.008713,            0.008713,            0.008713
                  41,            0.017976,           0.0095892,           0.0029019,              0.9276,             0.95539,             0.96455,             0.84246,             0.01286,           0.0065327,           0.0033078,             0.00868,             0.00868,             0.00868
                  42,            0.018207,           0.0095441,           0.0028862,              0.9195,             0.95451,             0.97637,             0.83022,            0.013096,           0.0070034,           0.0031053,            0.008647,            0.008647,            0.008647
                  43,            0.017407,           0.0094874,           0.0027356,             0.91923,             0.96922,             0.97366,             0.84047,            0.013266,           0.0069863,           0.0033711,            0.008614,            0.008614,            0.008614
                  44,            0.017868,             0.00946,           0.0026738,             0.93058,             0.95403,             0.96909,             0.84114,            0.014017,            0.007113,           0.0050117,            0.008581,            0.008581,            0.008581
                  45,            0.017232,           0.0091981,           0.0028516,             0.94089,             0.96221,              0.9793,             0.83973,            0.012685,           0.0069094,            0.003324,            0.008548,            0.008548,            0.008548
                  46,            0.017223,            0.009387,             0.00273,             0.92371,             0.95374,             0.97375,             0.83058,            0.013694,           0.0068749,           0.0037356,            0.008515,            0.008515,            0.008515
                  47,            0.017159,           0.0093198,           0.0024395,             0.91714,             0.98503,             0.97175,             0.83132,            0.013332,           0.0068547,           0.0032882,            0.008482,            0.008482,            0.008482
                  48,            0.016558,            0.008977,            0.002416,             0.92839,             0.94096,             0.97264,             0.84858,            0.013388,            0.007255,           0.0037089,            0.008449,            0.008449,            0.008449
                  49,            0.016562,           0.0093088,           0.0026003,             0.91133,             0.96803,             0.97227,              0.8397,            0.012496,           0.0065205,           0.0038024,            0.008416,            0.008416,            0.008416
                  50,            0.017131,           0.0093555,            0.002668,             0.94013,             0.98017,             0.97835,             0.86341,            0.012482,           0.0070179,           0.0034044,            0.008383,            0.008383,            0.008383
                  51,            0.016766,           0.0093144,           0.0024675,              0.9341,             0.94685,             0.97652,              0.8529,            0.012262,           0.0068599,           0.0043593,             0.00835,             0.00835,             0.00835
                  52,            0.016932,           0.0090954,           0.0025654,             0.95419,             0.92207,             0.96958,             0.84407,            0.013002,           0.0066227,           0.0032629,            0.008317,            0.008317,            0.008317
                  53,            0.016117,           0.0089167,           0.0024879,             0.91364,             0.97086,             0.97565,             0.85389,            0.012093,           0.0066757,           0.0038577,            0.008284,            0.008284,            0.008284
                  54,            0.016593,           0.0090615,           0.0026857,             0.94052,             0.96069,             0.98326,             0.85977,            0.012409,           0.0063587,           0.0037949,            0.008251,            0.008251,            0.008251
                  55,            0.016303,           0.0089733,           0.0024759,             0.93898,             0.98079,             0.98437,             0.84871,            0.012433,           0.0065227,           0.0032124,            0.008218,            0.008218,            0.008218
                  56,            0.016455,           0.0090439,           0.0022438,             0.94548,             0.94894,              0.9775,             0.86143,            0.012404,           0.0066596,           0.0033318,            0.008185,            0.008185,            0.008185
                  57,            0.016098,           0.0087275,           0.0022007,             0.93416,             0.96808,             0.97094,             0.84666,            0.012003,           0.0066712,           0.0035059,            0.008152,            0.008152,            0.008152
                  58,            0.015933,           0.0087146,           0.0022033,             0.90818,             0.95973,             0.96198,             0.83944,            0.012707,            0.007629,            0.003372,            0.008119,            0.008119,            0.008119
                  59,            0.016366,           0.0090022,           0.0024573,             0.93738,             0.96805,             0.97814,             0.85514,            0.012493,           0.0064883,           0.0034291,            0.008086,            0.008086,            0.008086
                  60,            0.015999,            0.008917,           0.0020247,             0.92213,             0.96359,             0.97353,             0.85127,            0.012058,           0.0064704,           0.0038669,            0.008053,            0.008053,            0.008053
                  61,            0.015652,           0.0086453,           0.0019479,             0.93794,             0.97744,             0.97518,             0.85963,            0.012508,           0.0064348,           0.0031475,             0.00802,             0.00802,             0.00802
                  62,            0.015688,           0.0088318,           0.0021822,               0.923,             0.95985,             0.97233,             0.83225,             0.01309,            0.006989,           0.0038049,            0.007987,            0.007987,            0.007987
                  63,            0.015596,           0.0083715,           0.0020175,             0.91751,             0.95421,             0.96916,             0.84661,            0.012313,           0.0068783,           0.0040882,            0.007954,            0.007954,            0.007954
                  64,            0.015535,           0.0085551,           0.0022432,             0.91475,             0.95916,             0.97482,             0.86269,             0.01173,           0.0065892,           0.0035288,            0.007921,            0.007921,            0.007921
                  65,            0.015789,           0.0083996,           0.0021439,             0.91406,             0.97677,             0.97963,             0.86378,            0.012113,           0.0068514,           0.0033567,            0.007888,            0.007888,            0.007888
                  66,            0.015533,           0.0086806,           0.0023562,             0.95602,             0.97103,              0.9816,             0.86068,            0.011858,           0.0065691,           0.0032886,            0.007855,            0.007855,            0.007855
                  67,            0.015503,           0.0086728,           0.0021359,              0.9228,             0.97012,             0.97869,              0.8729,              0.0114,            0.006524,           0.0033612,            0.007822,            0.007822,            0.007822
                  68,            0.015367,             0.00843,           0.0018525,              0.9255,             0.98018,             0.97597,             0.85618,            0.012053,           0.0064646,           0.0035333,            0.007789,            0.007789,            0.007789
                  69,            0.015233,           0.0082478,            0.001977,             0.92681,             0.98146,             0.98063,             0.86517,            0.011426,           0.0061665,           0.0033177,            0.007756,            0.007756,            0.007756
                  70,            0.015337,           0.0086384,           0.0018351,             0.91977,             0.97548,              0.9749,             0.85243,            0.011882,           0.0065022,           0.0037146,            0.007723,            0.007723,            0.007723
                  71,            0.015071,           0.0082195,           0.0021157,             0.92985,             0.93912,             0.96699,             0.84601,            0.012384,           0.0070674,           0.0036374,             0.00769,             0.00769,             0.00769
