               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  35,            0.018077,            0.011316,           0.0039998,             0.85162,             0.95476,             0.93631,             0.77798,            0.014435,           0.0074254,           0.0035464,           0.0096895,           0.0096895,           0.0096895
                  36,            0.018356,            0.011558,           0.0044038,             0.90586,             0.87209,             0.92818,             0.77313,            0.014473,           0.0075284,           0.0042072,           0.0096712,           0.0096712,           0.0096712
                  37,            0.018184,             0.01192,           0.0048897,             0.86505,             0.87942,             0.94277,             0.76279,            0.016093,           0.0087111,           0.0052154,           0.0096524,           0.0096524,           0.0096524
                  38,            0.018803,            0.011771,           0.0046681,              0.7521,             0.25743,             0.34257,             0.22233,            0.046362,            0.038281,            0.093268,           0.0096331,           0.0096331,           0.0096331
                  39,            0.018278,            0.011513,           0.0041635,             0.87865,              0.8897,             0.94739,             0.76276,            0.017697,           0.0099943,           0.0042918,           0.0096132,           0.0096132,           0.0096132
                  40,            0.017683,            0.011352,           0.0040833,             0.89336,             0.92605,             0.96327,             0.82452,            0.013419,           0.0075182,             0.00288,           0.0095929,           0.0095929,           0.0095929
                  41,            0.017819,            0.011469,           0.0043535,             0.84224,             0.89855,             0.90316,             0.74396,             0.01641,           0.0092234,           0.0044208,           0.0095721,           0.0095721,           0.0095721
                  42,            0.017931,            0.011142,           0.0039603,             0.86556,             0.96628,              0.9578,             0.81204,            0.014053,           0.0074151,           0.0026512,           0.0095507,           0.0095507,           0.0095507
                  43,            0.017024,            0.010938,           0.0042633,             0.89109,             0.91039,             0.95572,              0.8188,            0.013864,           0.0079045,           0.0028842,           0.0095289,           0.0095289,           0.0095289
                  44,            0.017366,            0.011055,           0.0043733,             0.87146,             0.86382,             0.92546,             0.77346,            0.016095,           0.0099791,            0.005445,           0.0095066,           0.0095066,           0.0095066
                  45,            0.017575,            0.010985,           0.0039678,             0.88347,              0.9074,             0.93738,             0.78487,            0.014569,           0.0075902,           0.0028668,           0.0094838,           0.0094838,           0.0094838
                  46,            0.017798,            0.011164,           0.0040483,              0.8954,             0.88449,             0.91666,             0.77655,            0.014672,           0.0080887,           0.0044013,           0.0094605,           0.0094605,           0.0094605
                  47,            0.017422,            0.011123,           0.0041541,              0.8823,             0.94697,             0.95877,             0.80733,            0.013567,           0.0072882,           0.0031458,           0.0094367,           0.0094367,           0.0094367
                  48,             0.01726,            0.010953,           0.0036508,             0.85979,               0.936,             0.93349,             0.78514,            0.013565,           0.0075903,           0.0028772,           0.0094125,           0.0094125,           0.0094125
                  49,            0.016734,             0.01101,           0.0034124,             0.87348,             0.92079,             0.95135,             0.79333,            0.015412,           0.0088827,           0.0026769,           0.0093877,           0.0093877,           0.0093877
                  50,            0.016403,            0.010847,           0.0035357,             0.90897,             0.90628,             0.96557,             0.82493,            0.013974,           0.0076363,           0.0027886,           0.0093625,           0.0093625,           0.0093625
                  51,            0.016797,            0.010911,           0.0037282,              0.8783,             0.94191,             0.96079,             0.81942,            0.013684,           0.0073128,            0.003965,           0.0093368,           0.0093368,           0.0093368
