               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.067373,            0.031749,            0.060078,             0.34191,             0.27306,             0.11972,            0.052802,            0.048955,            0.013085,            0.056448,            0.070217,           0.0033092,           0.0033092
                   1,            0.049658,            0.020945,            0.053075,             0.45875,             0.33975,             0.33066,             0.18529,            0.034007,            0.010473,             0.04459,            0.040195,           0.0066206,           0.0066206
                   2,            0.046731,            0.016891,            0.037704,             0.49396,             0.67533,              0.6232,             0.39833,            0.036238,           0.0092811,            0.024528,            0.010152,             0.00991,             0.00991
                   3,            0.041577,            0.014991,            0.023238,             0.70654,             0.71606,             0.71582,             0.31073,            0.041135,            0.011174,            0.014772,            0.009901,            0.009901,            0.009901
                   4,            0.036355,            0.013919,            0.014075,             0.89215,             0.84055,             0.85447,             0.57974,             0.02748,           0.0084474,           0.0084412,            0.009901,            0.009901,            0.009901
                   5,            0.032529,            0.013294,            0.010036,             0.87255,             0.84943,              0.8601,              0.6267,            0.024958,           0.0087776,           0.0069697,            0.009868,            0.009868,            0.009868
                   6,            0.030209,            0.013101,           0.0091663,             0.89845,             0.83166,             0.89945,             0.71368,            0.021305,            0.008069,           0.0058779,            0.009835,            0.009835,            0.009835
                   7,            0.028664,            0.012441,           0.0083627,             0.91631,             0.84518,             0.92887,             0.70979,            0.022468,           0.0079051,           0.0064222,            0.009802,            0.009802,            0.009802
                   8,            0.027566,            0.012388,           0.0075056,              0.9336,             0.83229,             0.94495,             0.70567,            0.024289,           0.0081983,           0.0062084,            0.009769,            0.009769,            0.009769
                   9,             0.02648,            0.011516,           0.0070955,             0.83733,             0.96623,               0.928,             0.73389,            0.017736,           0.0078464,           0.0047819,            0.009736,            0.009736,            0.009736
                  10,            0.025915,            0.012086,           0.0066983,             0.88063,             0.86646,             0.91224,             0.70155,            0.018621,           0.0085893,           0.0071304,            0.009703,            0.009703,            0.009703
                  11,            0.025211,            0.011705,           0.0060237,             0.89637,             0.94341,             0.95601,             0.74485,            0.019581,            0.007486,           0.0053746,             0.00967,             0.00967,             0.00967
                  12,            0.024353,            0.011348,           0.0064087,             0.90776,             0.91332,             0.95867,             0.77437,             0.01799,           0.0076731,           0.0050505,            0.009637,            0.009637,            0.009637
                  13,            0.023852,            0.011412,           0.0059338,              0.8091,             0.67617,             0.73317,             0.56411,            0.022641,            0.015298,            0.037734,            0.009604,            0.009604,            0.009604
                  14,            0.023472,            0.011392,           0.0056672,             0.86404,             0.82047,             0.90253,             0.71879,            0.018946,            0.010784,            0.011013,            0.009571,            0.009571,            0.009571
                  15,            0.022929,            0.011424,           0.0058912,             0.90961,             0.86579,             0.92161,             0.71004,            0.018966,           0.0090459,           0.0091963,            0.009538,            0.009538,            0.009538
                  16,            0.022515,            0.011069,           0.0055807,             0.92138,             0.91948,             0.95413,             0.78588,             0.01624,           0.0076363,           0.0051838,            0.009505,            0.009505,            0.009505
                  17,            0.022739,            0.011086,            0.004799,             0.94389,             0.93402,             0.96838,             0.78463,            0.017372,           0.0080049,           0.0032804,            0.009472,            0.009472,            0.009472
                  18,            0.022205,            0.010776,           0.0050002,             0.93542,             0.91647,             0.94499,             0.78058,            0.016944,           0.0075047,            0.003363,            0.009439,            0.009439,            0.009439
                  19,            0.021908,             0.01053,           0.0047607,             0.92109,             0.91013,             0.96202,             0.78672,            0.015848,           0.0072766,           0.0041962,            0.009406,            0.009406,            0.009406
                  20,            0.021355,            0.010571,           0.0046277,             0.89671,             0.95478,             0.96546,             0.80367,            0.016124,           0.0077202,           0.0047348,            0.009373,            0.009373,            0.009373
                  21,            0.020779,            0.010384,            0.004603,             0.92775,             0.94508,             0.96989,             0.81057,            0.016415,           0.0073353,           0.0037213,             0.00934,             0.00934,             0.00934
                  22,            0.020494,            0.010293,            0.004235,             0.94537,             0.92989,              0.9659,             0.81516,            0.015457,           0.0074634,           0.0036696,            0.009307,            0.009307,            0.009307
                  23,            0.020161,            0.010014,           0.0039571,             0.91091,             0.95876,             0.96783,             0.79811,             0.01698,           0.0078285,           0.0036765,            0.009274,            0.009274,            0.009274
                  24,            0.019964,           0.0099432,           0.0037129,             0.91751,             0.94862,             0.96609,             0.81612,            0.015438,           0.0069647,           0.0031495,            0.009241,            0.009241,            0.009241
                  25,            0.020052,           0.0099045,           0.0039749,             0.94334,             0.92209,              0.9616,             0.81047,            0.014258,           0.0068149,           0.0036953,            0.009208,            0.009208,            0.009208
                  26,            0.019278,           0.0097921,           0.0037874,             0.92676,             0.95023,             0.96775,             0.82457,            0.013966,           0.0073194,            0.003425,            0.009175,            0.009175,            0.009175
                  27,            0.019593,           0.0098773,           0.0038496,             0.94094,             0.92415,             0.97008,             0.84331,            0.013276,            0.006666,           0.0036351,            0.009142,            0.009142,            0.009142
                  28,            0.018983,           0.0095066,           0.0034175,             0.93121,             0.93567,             0.95209,             0.81767,            0.013739,           0.0068444,           0.0033389,            0.009109,            0.009109,            0.009109
                  29,            0.018606,            0.009528,           0.0034241,             0.90932,             0.94605,               0.961,             0.79226,            0.016748,           0.0090065,           0.0032118,            0.009076,            0.009076,            0.009076
                  30,            0.018915,           0.0093769,           0.0034724,             0.90996,             0.93975,             0.96905,             0.82408,            0.013849,           0.0068532,            0.003239,            0.009043,            0.009043,            0.009043
                  31,             0.01824,            0.009715,           0.0035895,             0.88834,             0.90756,             0.92498,             0.78321,            0.015721,             0.01145,           0.0051008,             0.00901,             0.00901,             0.00901
                  32,            0.017904,           0.0096464,           0.0034183,             0.91831,             0.96234,             0.96091,             0.82725,             0.01279,           0.0066577,           0.0032089,            0.008977,            0.008977,            0.008977
                  33,            0.018249,           0.0097035,           0.0034819,             0.92465,             0.96052,             0.97438,             0.84523,            0.013118,            0.006793,           0.0030104,            0.008944,            0.008944,            0.008944
                  34,            0.018096,           0.0093894,           0.0034331,             0.92589,             0.96067,             0.96923,             0.84627,            0.012522,           0.0065428,            0.003204,            0.008911,            0.008911,            0.008911
                  35,            0.017422,           0.0089222,           0.0028656,              0.9053,             0.95015,             0.95482,             0.78871,             0.01594,           0.0083287,           0.0036596,            0.008878,            0.008878,            0.008878
